week_ending,type,avg_selling_price,total_bulk_and_bags_units,plu4046_units,plu4225_units,plu4770_units,total_bagged_units,sml_bagged_units,lrg_bagged_units,xlrg_bagged_units
2017-01-02,Conventional,0.89,38879717,12707895,14201201,549845,11420777,8551134,2802710,66934
2017-01-08,Conventional,0.99,38049803,11809728,13856935,539069,11844072,9332972,2432260,78841
2017-01-15,Conventional,0.98,38295489,12936859,12625666,579347,12153619,9445623,2638919,69078
2017-01-22,Conventional,0.94,42140394,14254151,14212882,908617,12764745,9462854,3231020,70872
2017-01-29,Conventional,0.96,39373580,14034076,11683465,818728,12837312,9918256,2799961,119096
2017-02-05,Conventional,0.77,61034458,22743617,20328162,1664384,16298297,12567156,3618271,112870
2017-02-12,Conventional,0.87,41077471,15051952,12184189,862323,12979009,9922490,2919325,137195
2017-02-19,Conventional,0.99,33905855,11321733,10351149,832907,11400068,8676990,2576167,146912
2017-02-26,Conventional,0.99,37007798,13173669,11398143,896762,11539225,8945889,2405734,187603
2017-03-05,Conventional,1.13,33684176,11335276,10807890,795174,10745837,8302601,2322678,120559
2017-03-12,Conventional,1.22,32020574,11228358,9575228,727234,10489757,8207586,2124295,157877
2017-03-19,Conventional,1.25,31595126,10975690,9622712,638218,10358506,8202243,2000177,156088
2017-03-26,Conventional,1.24,32555120,11737560,9664311,611106,10542144,8498318,1844372,199454
2017-04-02,Conventional,1.21,34468018,12245521,9733585,624710,11864203,9385517,2330301,148386
2017-04-09,Conventional,1.21,34785713,12091316,10821097,647970,11225333,8946793,2098143,180397
2017-04-16,Conventional,1.23,35182321,12311056,10069355,650018,12151895,9399105,2544943,207847
2017-04-23,Conventional,1.18,35729014,12236714,10224485,613508,12654310,9051467,3434847,167996
2017-04-30,Conventional,1.18,38315501,13316595,11291150,667997,13039761,9463811,3378924,197026
2017-05-07,Conventional,1.09,47293922,17076651,13549103,863472,15804697,11228050,4324232,252416
2017-05-14,Conventional,1.19,36634270,12807837,9717258,652974,13456202,10373348,2859414,223441
2017-05-21,Conventional,1.26,34397652,12120949,10213232,621604,11441867,8508443,2718686,214740
2017-05-28,Conventional,1.28,37030894,12841953,10932971,673385,12582587,9312240,3013460,256888
2017-06-04,Conventional,1.24,37352361,13248335,10157566,667067,13279395,10103008,2946265,230123
2017-06-11,Conventional,1.21,37039854,13490546,10090862,648411,12810036,9373422,3128714,307901
2017-06-18,Conventional,1.18,38247670,12975374,11199449,807108,13265741,9650859,3267492,347391
2017-06-25,Conventional,1.17,37305308,12901032,10805962,655966,12942349,9462414,3202254,277682
2017-07-02,Conventional,1.21,38010427,12623189,10988735,859890,13538614,10041244,3119709,377662
2017-07-09,Conventional,1.17,39367337,13009945,11031219,821965,14504210,11112406,3018281,373524
2017-07-16,Conventional,1.33,32455048,11155466,11202845,756104,9340634,6514900,2499386,326349
2017-07-23,Conventional,1.31,32608302,11391056,11339581,612243,9265423,6333889,2636617,294919
2017-07-30,Conventional,1.32,31756098,11112192,11088083,596677,8959148,6337458,2396439,225252
2017-08-06,Conventional,1.33,32529921,11292581,10988314,665313,9583714,6889926,2376270,317518
2017-08-13,Conventional,1.33,32817255,10952704,11154311,624964,10085277,6687662,3118890,278726
2017-08-20,Conventional,1.41,29913745,10507929,8837220,581075,9987522,6837127,2911555,238842
2017-08-27,Conventional,1.47,28785280,10735710,8587106,517542,8944923,6592504,2117566,234854
2017-09-03,Conventional,1.57,26808411,9775063,8565266,541903,7926180,5851815,1855971,218395
2017-09-10,Conventional,1.56,26385082,9496486,8373235,487927,8027436,6035667,1818833,172937
2017-09-17,Conventional,1.41,80110,3987,66935,34,9155,5290,3852,14
2017-09-24,Conventional,1.64,68540,2509,56024,75,9934,5392,4542,0
2017-10-01,Conventional,1.69,71206,4412,57417,78,9300,5070,4231,0
2017-10-08,Conventional,1.78,55369,3680,45844,43,5803,2149,3655,0
2017-10-15,Conventional,1.58,25031590,8769358,8534405,392120,7335708,5387870,1893511,54328
2017-10-22,Conventional,1.44,26706972,9607587,8761193,409599,7928594,6074597,1804540,49458
2017-10-29,Conventional,1.29,30237912,10596903,9803570,424756,9412684,6602083,2747520,63081
2017-11-05,Conventional,1.19,32051595,11042129,9774988,400251,10834228,7470395,3275464,88370
2017-11-12,Conventional,1.15,32336225,11512837,9994648,416643,10412097,7277327,3044847,89923
2017-11-19,Conventional,1.17,29253484,11173132,7847059,416186,9817108,6662322,3059627,95159
2017-11-26,Conventional,1.24,24686675,9175316,7312239,379637,7819483,5571801,2156887,90795
2017-12-03,Conventional,1.09,33824253,11746980,10905968,583801,10587491,7730801,2748622,108068
2017-12-10,Conventional,1.03,35634914,11943915,11659898,398349,11632753,8404956,3122651,105147
2017-12-17,Conventional,1.07,30757768,10704215,9934619,574090,9544846,7149681,2260603,134563
2017-12-24,Conventional,1.18,29102350,10027320,8964248,546374,9564409,7222271,2226795,115344
2018-01-01,Conventional,0.98,38267342,13109618,13197461,644838,11315426,8092356,3098374,124697
2018-01-07,Conventional,1.13,36703157,13730993,10781340,677715,11513110,8231767,3130920,150425
2018-01-14,Conventional,1.2,37299946,12600919,11866198,652809,12180021,8128242,3917570,134209
2018-01-21,Conventional,1.08,42939822,14218844,13929703,928816,13862461,9866219,3789723,206520
2018-01-28,Conventional,1.09,40171641,14551800,12119885,575975,12923982,9749413,3041126,133445
2018-02-04,Conventional,0.87,62505647,21620181,20445502,1066831,19373135,13384587,5719097,269451
2018-02-11,Conventional,0.97,43167807,15870678,11541845,652857,15102427,10844853,4023486,234090
2018-02-18,Conventional,1.08,36709888,13262752,10491919,552970,12402248,9023352,3151158,227739
2018-02-25,Conventional,1.06,40021529,13829858,10415464,724331,15051878,10666943,4081398,303537
2018-03-04,Conventional,1.07,40741215,14439548,11289308,571748,14440612,10832908,3339215,268490
2018-03-11,Conventional,1.09,40449604,14089092,10758040,707579,14894894,11392829,3229557,272509
2018-03-18,Conventional,1.05,41386315,13707390,11061052,645381,15972493,11712808,3988102,271584
2018-03-25,Conventional,1.03,43409836,14130800,12125712,758802,16394525,12540328,3544730,309468
2018-04-01,Conventional,1.1,41109689,13467729,10744042,732444,16165476,11826775,4055705,282996
2018-04-08,Conventional,1.04,42964068,13410252,13040704,737516,15775598,10948346,4555613,271640
2018-04-15,Conventional,1.03,47098678,15307340,13807127,894947,17089266,12283245,4522005,284017
2018-04-22,Conventional,1.04,44313980,14522578,12709403,722559,16359440,11850826,4207589,301026
2018-04-29,Conventional,1.07,43856759,14254037,13240109,744031,15618584,11122007,4208204,288373
2018-05-06,Conventional,0.89,63716145,21137401,19900872,1052500,21625373,15436247,5840415,348712
2018-05-13,Conventional,1,46371246,15432481,12367252,759856,17811659,13110017,4432537,269106
2018-05-20,Conventional,1.02,44458799,15391299,12092089,736112,16239300,11427677,4549193,262432
2018-05-27,Conventional,1.03,47105315,15644844,13548820,793659,17117993,11620664,5229856,267474
2018-06-03,Conventional,1.07,44705040,15241659,12611265,828738,16023379,11035194,4684091,304095
2018-06-10,Conventional,1.03,45613373,15949808,13691956,753787,15217824,11228600,3724801,264423
2018-06-17,Conventional,1.09,44009085,14909831,12904473,782044,15412739,11486169,3707919,218651
2018-06-24,Conventional,1.04,44742750,14643775,12717018,1110724,16271235,11708300,4262205,300731
2018-07-01,Conventional,1.05,45572740,14978440,12542938,969239,17082123,11945299,4934541,202285
2018-07-08,Conventional,1.03,47848190,14624444,14184133,1169256,17870358,12817173,4735853,317333
2018-07-15,Conventional,1.07,43126774,13457480,12125208,908600,16635487,11924571,4460657,250260
2018-07-22,Conventional,1.1,41906917,12371333,12486291,1075362,15973932,10179552,5511075,283306
2018-07-29,Conventional,1.12,40512783,11801093,12818315,622038,15271337,10400082,4639009,232247
2018-08-05,Conventional,1.15,39427667,12286514,11712661,715532,14712961,10184576,4256129,272257
2018-08-12,Conventional,1.12,40901951,12048458,12657831,881279,15314383,10707558,4270143,336683
2018-08-19,Conventional,1.13,40735733,12009247,11634726,1116319,15975443,11055174,4500205,420065
2018-08-26,Conventional,1.22,36867975,11171124,11286480,699011,13711362,9484136,3930112,297115
2018-09-02,Conventional,1.29,36169162,10916803,10880827,777528,13594005,9783861,3485419,324726
2018-09-09,Conventional,1.24,37484254,11028195,11898527,859247,13698287,9876855,3505979,315455
2018-09-16,Conventional,1.22,35609956,11598587,9716278,743852,13551241,9562608,3684647,303986
2018-09-23,Conventional,1.19,34866283,10635596,10368079,644555,13218055,9638334,3294143,285579
2018-09-30,Conventional,1.1,37588535,11693994,10028232,659679,15206632,11080363,3869003,257267
2018-10-07,Conventional,1.08,38061760,11931877,10220789,794612,15114484,11085672,3792436,236377
2018-10-14,Conventional,1.08,36869561,11397966,10293295,599008,14579294,10460715,3928695,189886
2018-10-21,Conventional,1.13,34002535,10104601,9817027,530699,13550209,9914170,3463121,172920
2018-10-28,Conventional,1.01,39402227,12142266,10845125,549491,15865347,11437563,4320345,107439
2018-11-04,Conventional,1.01,38363283,12420773,10192036,528278,15222198,10602849,4538744,80605
2018-11-11,Conventional,1,39042284,13355864,10385142,603033,14698246,10721368,3865597,111283
2018-11-18,Conventional,1.14,29871136,9719229,7271529,497405,12382974,9174636,3103023,105316
2018-11-25,Conventional,1.25,21855494,7140336,6021451,402866,8290843,6016143,2183011,91689
2018-12-02,Conventional,1.22,27652426,9516478,7462866,521911,10151173,7174282,2895344,81548
2019-01-07,Conventional,1.02,44749708,14377054,11890233,893722,17588701,12829494,4617814,141394
2019-01-13,Conventional,0.97,48088441,15500569,13443607,741411,18402855,12137098,6130318,135440
2019-01-20,Conventional,0.99,47145265,13843022,13453613,1328747,18519885,12840427,5419915,259544
2019-01-27,Conventional,1.03,43574810,14531450,11053097,830803,17159462,11231766,5628142,299555
2019-02-03,Conventional,0.84,62451515,19498920,17887807,1591801,23472989,15264524,7864298,344169
2019-02-10,Conventional,0.91,46702985,15056414,12025542,822703,18798329,12438638,6191153,168539
2019-02-17,Conventional,0.96,42664976,13572743,11372878,1306104,16413253,10553828,5603665,255762
2019-02-24,Conventional,0.98,43682566,13423018,12170265,1038106,17051179,11676382,5110695,264103
2019-03-03,Conventional,1,44402425,14607959,11158681,972116,17663671,11608929,5702350,352392
2019-03-10,Conventional,0.98,46192003,14299260,12096367,996824,18799554,12490685,5873049,435821
2019-03-17,Conventional,0.94,48744676,15417244,11325571,1404435,20597428,13377155,6718344,501931
2019-03-24,Conventional,0.99,47068806,14147439,13174262,1014093,18733013,11981190,6380777,371048
2019-03-31,Conventional,0.99,45361323,13981630,11271304,1101106,19007285,11327600,7451905,227780
2019-04-07,Conventional,0.97,49306987,14218226,12998359,1493001,20597402,12949531,7288682,359189
2019-04-14,Conventional,1.05,45956799,13116579,12746907,1181614,18911700,12002215,6411538,497948
2019-04-21,Conventional,1.27,39009981,11457332,9683823,1076013,16792815,10656050,5768551,368215
2019-04-28,Conventional,1.37,35223604,11547045,9044580,908430,13723550,8751302,4661548,310702
2019-05-05,Conventional,1.22,49213687,15439383,13655552,1033256,19085498,11663446,6985235,436818
2019-05-12,Conventional,1.24,43060976,13040338,11403252,890221,17726802,11266028,6092754,368020
2019-05-19,Conventional,1.29,38309263,11718600,10111449,909584,15569631,10410832,4907118,251682
