Compartment,Locality_Block,Transect_Number,Old_Shoots,New_Shoots
6,5,1,7,0
6,5,1,4,0
6,5,1,5,0
6,5,1,4,0
6,5,1,9,0
6,5,1,12,0
6,5,1,4,0
6,5,1,5,0
6,5,1,3,0
6,5,1,3,0
6,5,1,2,0
6,5,1,3,0
6,5,1,0,0
6,5,1,3,0
6,5,1,10,0
6,5,1,5,0
6,5,1,4,0
6,5,1,13,0
6,5,1,9,0
6,5,1,12,0
6,5,1,1,0
6,5,1,0,0
6,5,1,8,0
6,5,1,3,0
6,5,1,3,0
6,5,1,3,0
6,5,1,2,0
6,5,1,3,0
6,5,1,4,0
6,5,1,4,0
6,5,1,6,0
6,5,1,9,1
6,5,1,12,1
6,5,1,2,1
6,5,1,10,1
6,5,1,9,1
6,5,1,4,1
6,5,1,11,2
6,5,1,8,2
6,5,1,6,2
6,5,1,13,2
6,5,1,5,3
6,5,1,6,4
6,5,1,5,4
6,8,5,2,0
6,8,5,11,0
6,8,5,12,0
6,8,5,11,0
6,8,5,4,0
6,8,5,4,0
6,8,5,8,0
6,8,5,3,0
6,8,5,6,0
6,8,5,8,0
6,8,5,5,0
6,8,5,8,0
6,8,5,3,0
6,8,5,8,0
6,8,5,9,0
6,8,5,2,0
6,8,5,16,0
6,8,5,3,0
6,8,5,5,0
6,8,5,8,0
6,8,5,9,0
6,8,5,2,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,NA,0
6,8,5,11,1
6,8,5,6,1
6,8,5,2,1
6,8,5,5,1
6,8,5,7,1
6,8,5,2,1
6,8,5,12,1
6,8,5,11,1
6,8,5,13,1
6,8,5,8,1
6,8,5,7,1
6,8,5,7,1
6,8,5,12,1
6,8,5,NA,1
6,8,5,NA,1
6,8,5,6,2
6,8,5,4,2
6,8,5,6,2
6,8,5,6,2
6,8,5,11,2
6,8,5,NA,2
6,8,5,2,3
6,8,5,7,3
6,8,5,4,4
6,8,5,5,4
6,8,5,11,4
6,8,5,12,4
9,20,9,8,0
9,20,9,5,0
9,20,9,6,0
9,20,9,5,0
9,20,9,6,0
9,20,9,4,0
9,20,9,15,0
9,20,9,5,0
9,20,9,13,0
9,20,9,10,0
9,20,9,5,0
9,20,9,6,0
9,20,9,4,0
9,20,9,5,0
9,20,9,5,0
9,20,9,5,0
9,20,9,14,0
9,20,9,8,0
9,20,9,15,0
9,20,9,5,0
9,20,9,24,0
9,20,9,10,0
9,20,9,5,0
9,20,9,9,0
9,20,9,6,0
9,20,9,7,0
9,20,9,5,0
9,20,9,5,0
9,20,9,5,0
9,20,9,14,0
9,20,9,15,0
9,20,9,6,0
9,20,9,17,0
9,20,9,10,0
9,20,9,5,0
9,20,9,9,0
9,20,9,6,0
9,20,9,7,0
9,20,9,5,0
9,20,9,5,0
9,20,9,5,0
9,20,9,7,1
9,20,9,23,1
9,20,9,8,1
9,20,9,6,1
9,20,9,4,1
9,20,9,4,1
9,20,9,3,1
9,20,9,4,1
9,20,9,13,1
9,20,9,8,1
9,20,9,8,1
9,20,9,14,1
9,20,9,5,1
9,20,9,6,1
9,20,9,9,1
9,20,9,7,1
9,20,9,9,1
9,20,9,6,1
9,20,9,5,1
9,20,9,10,1
9,20,9,6,1
9,20,9,6,1
9,20,9,3,2
9,20,9,11,2
9,20,9,8,2
9,20,9,24,2
9,20,9,4,2
9,20,9,16,2
9,20,9,6,2
9,20,9,10,2
9,20,9,26,2
9,20,9,16,2
9,20,9,12,3
9,20,9,15,3
9,20,9,9,3
9,20,9,17,4
9,20,9,20,4
9,20,9,8,6
9,20,9,12,6
11,9,7,9,0
11,9,7,7,0
11,9,7,6,0
11,9,7,3,0
11,9,7,5,0
11,9,7,6,0
11,9,7,7,0
11,9,7,5,0
11,9,7,10,0
11,9,7,3,0
11,9,7,5,0
11,9,7,9,0
11,9,7,12,0
11,9,7,7,0
11,9,7,5,0
11,9,7,9,0
11,9,7,6,0
11,9,7,7,0
11,9,7,5,0
11,9,7,9,0
11,9,7,17,0
11,9,7,15,0
11,9,7,8,0
11,9,7,11,0
11,9,7,4,0
11,9,7,9,0
11,9,7,12,0
11,9,7,10,0
11,9,7,6,1
11,9,7,4,1
11,9,7,8,1
11,9,7,13,1
11,9,7,7,1
11,9,7,8,1
11,9,7,6,1
11,9,7,6,1
11,9,7,8,1
11,9,7,12,1
11,9,7,17,1
11,9,7,9,1
11,9,7,11,1
11,9,7,4,1
11,9,7,9,1
11,9,7,10,1
11,9,7,13,1
11,9,7,8,1
11,9,7,14,1
11,9,7,22,1
11,9,7,6,2
11,9,7,4,2
11,9,7,6,2
11,9,7,10,2
11,9,7,9,2
11,9,7,8,2
11,9,7,19,2
11,9,7,20,2
11,9,7,15,2
11,9,7,8,2
