When,Grazed,Birds
Before,Feral,2
Before,Feral,0
Before,Feral,0
Before,Feral,1
Before,Feral,4
Before,Feral,2
Before,Feral,3
Before,Feral,0
Before,Feral,1
Before,Feral,0
Before,Feral,4
Before,Feral,0
Before,Feral,0
Before,Feral,2
Before,Feral,30
Before,Feral,13
Before,Feral,0
Before,Feral,2
Before,Feral,0
Before,Feral,1
Before,Reference,0
Before,Reference,3
Before,Reference,1
Before,Reference,19
Before,Reference,8
Before,Reference,37
Before,Reference,7
Before,Reference,10
Before,Reference,11
Before,Reference,1
Before,Reference,30
After,Feral,6
After,Feral,2
After,Feral,0
After,Feral,11
After,Feral,7
After,Feral,4
After,Feral,3
After,Feral,0
After,Feral,3
After,Feral,7
After,Feral,17
After,Feral,7
After,Feral,0
After,Feral,7
After,Feral,4
After,Feral,14
After,Feral,6
After,Feral,8
After,Feral,18
After,Feral,4
After,Reference,1
After,Reference,10
After,Reference,10
After,Reference,29
After,Reference,21
After,Reference,5
After,Reference,5
After,Reference,4
After,Reference,4
After,Reference,6
After,Reference,15
