ID,Rep,DPot,Population,Type,Herbicide,Fwt
1,1,1,P1,1,A,5.94
2,1,2,P2,1,A,3.88
3,1,3,P3,1,A,3.55
4,1,4,P4,1,A,6.45
5,1,5,P5,1,A,0.1
6,1,6,P6,1,A,4.94
7,1,7,P7,1,A,4.07
8,1,8,P8,1,A,2.13
9,1,9,P9,1,A,2.24
10,1,10,P1,2,B,1.25
11,1,11,P2,2,B,1.55
12,1,12,P3,2,B,1.53
13,1,13,P4,2,B,2.56
14,1,14,P5,2,B,4.96
15,1,15,P6,2,B,1.89
16,1,16,P7,2,B,0.67
17,1,17,P8,2,B,0.47
18,1,18,P9,2,B,0.53
19,1,19,P1,1,C,5.37
20,1,20,P2,1,C,3.6
21,1,21,P3,1,C,4.77
22,1,22,P4,1,C,4.1
23,1,23,P5,1,C,2.96
24,1,24,P6,1,C,2.59
25,1,25,P7,1,C,5.17
26,1,26,P8,1,C,2.63
27,1,27,P9,1,C,4.48
28,2,1,P1,1,A,3.63
29,2,2,P2,1,A,2.17
30,2,3,P3,1,A,5.16
31,2,4,P4,1,A,5.56
32,2,5,P5,1,A,0.31
33,2,6,P6,1,A,5.21
34,2,7,P7,1,A,3.74
35,2,8,P8,1,A,6.46
36,2,9,P9,1,A,2.85
37,2,10,P1,2,B,1.01
38,2,11,P2,2,B,1.44
39,2,12,P3,2,B,4.21
40,2,13,P4,2,B,1.49
41,2,14,P5,2,B,5.11
42,2,15,P6,2,B,3
43,2,16,P7,2,B,0.39
44,2,17,P8,2,B,0.51
45,2,18,P9,2,B,0.66
46,2,19,P1,1,C,3.96
47,2,20,P2,1,C,1.81
48,2,21,P3,1,C,3.46
49,2,22,P4,1,C,4.48
50,2,23,P5,1,C,5.14
51,2,24,P6,1,C,5.33
52,2,25,P7,1,C,5.66
53,2,26,P8,1,C,5.93
54,2,27,P9,1,C,2.9
55,3,1,P1,1,A,5.56
56,3,2,P2,1,A,0.63
57,3,3,P3,1,A,5.17
58,3,4,P4,1,A,1.99
59,3,5,P5,1,A,3.69
60,3,6,P6,1,A,2.51
61,3,7,P7,1,A,4.67
62,3,8,P8,1,A,5.02
63,3,9,P9,1,A,0.63
64,3,10,P1,2,B,0.92
65,3,11,P2,2,B,0.9
66,3,12,P3,2,B,3.39
67,3,13,P4,2,B,1.09
68,3,14,P5,2,B,4.84
69,3,15,P6,2,B,3.05
70,3,16,P7,2,B,0.25
71,3,17,P8,2,B,0.37
72,3,18,P9,2,B,1.7
73,3,19,P1,1,C,4.05
74,3,20,P2,1,C,1.82
75,3,21,P3,1,C,5.58
76,3,22,P4,1,C,7.92
77,3,23,P5,1,C,3.16
78,3,24,P6,1,C,5.38
79,3,25,P7,1,C,4.84
80,3,26,P8,1,C,4.74
81,3,27,P9,1,C,2.91
82,4,1,P1,1,A,4.09
83,4,2,P2,1,A,2.82
84,4,3,P3,1,A,1.07
85,4,4,P4,1,A,5.21
86,4,5,P5,1,A,4.56
87,4,6,P6,1,A,3.76
88,4,7,P7,1,A,3.41
89,4,8,P8,1,A,2.36
90,4,9,P9,1,A,1.39
91,4,10,P1,2,B,0.98
92,4,11,P2,2,B,1.12
93,4,12,P3,2,B,4.13
94,4,13,P4,2,B,2.37
95,4,14,P5,2,B,4.64
96,4,15,P6,2,B,1.22
97,4,16,P7,2,B,0.44
98,4,17,P8,2,B,0.27
99,4,18,P9,2,B,0.7
100,4,19,P1,1,C,3.37
101,4,20,P2,1,C,5.21
102,4,21,P3,1,C,4.45
103,4,22,P4,1,C,5.46
104,4,23,P5,1,C,4.46
105,4,24,P6,1,C,5.13
106,4,25,P7,1,C,4.47
107,4,26,P8,1,C,4.71
108,4,27,P9,1,C,5.73
109,5,1,P1,1,A,3.65
110,5,2,P2,1,A,1.73
111,5,3,P3,1,A,2.61
112,5,4,P4,1,A,2.51
113,5,5,P5,1,A,0.16
114,5,6,P6,1,A,1.9
115,5,7,P7,1,A,5.73
116,5,8,P8,1,A,2.88
117,5,9,P9,1,A,3.14
118,5,10,P1,2,B,0.26
119,5,11,P2,2,B,1.74
120,5,12,P3,2,B,1.85
121,5,13,P4,2,B,0.66
122,5,14,P5,2,B,4.96
123,5,15,P6,2,B,1.58
124,5,16,P7,2,B,0.4
125,5,17,P8,2,B,0.4
126,5,18,P9,2,B,0.17
127,5,19,P1,1,C,4.11
128,5,20,P2,1,C,2.13
129,5,21,P3,1,C,2.8
130,5,22,P4,1,C,3.97
131,5,23,P5,1,C,2.45
132,5,24,P6,1,C,2.61
133,5,25,P7,1,C,3.44
134,5,26,P8,1,C,4.63
135,5,27,P9,1,C,3.71
