Variety,Country,Water,Bean Weight,Extract Yield,ph Value,Free Acid,Mineral Content,Fat,Caffine,Trigonelline,Chlorogenic Acid,Neochlorogenic Acid,Isochlorogenic Acid
Arabica,mexico,8.939999,156.600006,33.5,5.8,32.700001,3.8,15.2,1.13,1.03,5.38,0.4,0.79
Arabica,mexico,7.4,157.300003,32.099998,5.81,30.799999,3.71,15,1.25,1.01,5.13,0.32,0.97
Arabica,guatemal,9.74,152.899994,33.099998,5.26,36.700001,4.15,16.1,1.21,1.05,5.94,0.24,0.76
Arabica,honduras,10.4,174,31.5,5.61,34.200001,3.94,15.8,1.06,0.94,5.87,0.39,0.59
Arabica,salvador,10.54,145.100006,35.200001,5.77,31.799999,4.09,15.2,1.11,0.99,5.09,0.49,0.72
Arabica,salvador,10,156.399994,34.5,5.83,32.599998,3.88,15.4,1.2,0.81,5.3,0.43,0.69
Arabica,salvador,8.2,155.199997,32.400002,5.62,29.700001,3.85,15.6,1.33,1.16,4.8,0.32,0.74
Arabica,nicaragu,9.22,167.800003,30.6,5.89,28.9,3.85,15.1,1.28,0.98,4.96,0.32,0.66
Arabica,nacaragu,9.270001,165.399994,35.299999,5.75,32.599998,4.22,14.3,1.16,0.97,5.53,0.36,0.8
Arabica,costaric,7.07,180.300003,33,5.82,29.299999,4.01,15.1,1.32,0.97,5.12,0.29,0.69
Arabica,costaric,7.55,153.199997,36,5.86,30.5,3.93,16.799999,1.4,1.07,5.32,0.31,0.67
Arabica,costaric,7.35,159.600006,35,5.83,29.9,3.68,16.5,1.19,1.18,5.54,0.27,0.71
Arabica,panama,9.270001,161.800003,32.400002,5.84,31,3.72,15.5,1.32,1.2,5.62,0.34,0.62
Arabica,haiti,8.28,160.800003,35.700001,5.93,30,4.36,13,1.25,1.05,6.11,0.59,0.84
Arabica,dominica,11.6,174.800003,32.5,5.44,35.200001,3.68,14.5,1.04,1,5.7,0.35,0.49
Arabica,venezuel,9.74,169.100006,34,5.82,31.6,3.95,15.7,1.28,1.27,5.12,0.32,0.31
Arabica,venezuel,10.6,163.699997,35,5.76,35,3.85,15.8,1.23,1.1,6.14,0.3,0.91
Arabica,columbia,12,178.800003,32.900002,5.28,36.200001,4.36,15.6,1.3,0.97,5.61,0.42,0.69
Arabica,columbia,10.6,169.100006,33,5.27,37.5,4.39,15.1,1.21,0.96,6.12,0.12,0.64
Arabica,ecuador,11.6,148.5,34.599998,5.27,39.400002,4.22,14.6,0.96,1.06,5.69,0.54,0.41
Arabica,peru,10.06,153.699997,34.5,5.96,28.4,3.67,15.9,1.32,1.06,6.07,0.37,0.83
Arabica,brasile,10.73,134.5,29.799999,5.4,34.099998,3.71,15.8,1.22,0.9,5.42,0.38,0.61
Arabica,brasile,9.67,160.699997,33.799999,5.31,37.200001,4.16,15.2,1.11,0.88,5.44,0.29,0.48
Arabica,brasile,10.83,133.199997,35,5.21,34.700001,4.46,15.1,1.16,1.38,5,0.49,0.49
Arabica,brasile,11.07,131.699997,29.799999,5.43,33,4.1,15.8,1.08,1.22,5.07,0.47,0.5
Arabica,brasile,10.07,121.599998,33.599998,5.36,34.700001,3.48,15.4,1.06,0.94,5.52,0.43,0.58
Robusta,Costadav,8,141.800003,33.700001,5.76,41.900002,4.21,11,1.95,0.48,6.41,0.62,1.47
Robusta,togo,8.97,144.600006,29.9,5.59,38,3.93,7.5,1.92,0.32,5.36,0.75,0.94
Robusta,camerun,10.3,119.199997,35.5,6.13,41.700001,4.1,9.8,1.79,0.77,6,0.48,1.14
Arabica,congo,9.979999,143.199997,31.700001,6.11,29.299999,4.05,17,1.21,0.55,5.37,0.35,0.67
Robusta,angola,9.22,150.399994,31.5,5.67,36.400002,4.22,8.5,1.94,0.64,5.93,0.56,1.37
Robusta,angola,9.609999,136.600006,33.900002,5.55,38.200001,3.95,7.2,2.16,0.48,6.19,0.42,1.64
Arabica,angola,9.479999,136.5,32,5.78,31.200001,3.78,14.6,1.25,0.99,5.16,0.44,0.76
Arabica,etiopia,9.270001,124.199997,35.599998,5.78,31.799999,3.83,15.7,0.9,0.93,5.47,0.21,0.81
Arabica,uganda,10.5,132.899994,36.200001,5.43,36.700001,4,15.6,1,1.01,5.87,0.42,0.59
Arabica,uganda,10.67,181.199997,33.099998,5.82,30.700001,3.93,15.8,1.28,1.08,5.35,0.27,0.61
Arabica,kenia,10.5,159.100006,30.299999,5.6,31.5,3.66,15.2,1.3,0.9,5.07,0.29,0.67
Arabica,tanganik,9.850001,169.399994,29,5.59,30.200001,3.7,16.5,1.32,0.93,5.04,0.22,0.69
Robusta,madagasc,5,152,30.6,5.27,40.5,3.91,9.600001,1.56,0.73,5.34,0.56,0.77
Arabica,india,11.5,156.800003,30.799999,5.49,37.5,3.93,14.3,1.17,0.97,5.77,0.44,0.42
Robusta,sumatra,8.399999,110.800003,31.6,5.72,43.400002,4.49,10.1,1.68,0.83,6.3,0.67,0.89
Arabica,giava,5.6,163.100006,34.5,5.46,33.299999,3.98,16,1.18,1.15,5.11,0.33,0.84
Arabica,haway,9.7,191.199997,35.099998,5.63,34.599998,4.17,14.2,1.09,0.93,5.77,0.46,0.35
