Month,Density,Biomass
05/98,6,2
05/98,11,4.5
06/98,15,6.5
06/98,13.5,9
07/98,11,8
07/98,14.5,11
08/98,17.5,17
08/98,13.5,14
09/98,14,12.5
10/98,12,11
10/98,6.5,10.5
11/98,5.5,9
11/98,3,3
12/98,2.5,2.5
12/98,2,0.2
01/99,2,0.5
02/99,0,0.2
02/99,2,0.1
03/99,3,3
03/99,4,3.5
04/99,6,2.2
04/99,10,2
05/99,7.5,1.8
05/99,10,3
06/99,14,11.5
07/99,14,7.5
07/99,5.5,3.5
08/99,11,7.5
08/99,19,15.5
09/99,16.5,9
09/99,12,10.5
10/99,12,9
10/99,10.5,9
11/99,5,6.5
11/99,6,11
11/99,2,3
12/99,1.7,1.5
12/99,1.5,1.4
01/00,4,1.5
01/00,1,1.4
02/00,2,1
03/00,3.7,4
03/00,3.6,1
03/00,3,1.5
04/00,3,0.5
04/00,3.5,1
