trati,bloc,exp,resp
T 1,B 1,Exp 1,20.3
T 1,B 2,Exp 1,19.6
T 1,B 3,Exp 1,23.5
T 1,B 4,Exp 1,19.1
T 2,B 1,Exp 1,21.7
T 2,B 2,Exp 1,19.3
T 2,B 3,Exp 1,16.7
T 2,B 4,Exp 1,18.5
T 3,B 1,Exp 1,22
T 3,B 2,Exp 1,24.9
T 3,B 3,Exp 1,24.4
T 3,B 4,Exp 1,20.8
T 4,B 1,Exp 1,20.8
T 4,B 2,Exp 1,23
T 4,B 3,Exp 1,21.3
T 4,B 4,Exp 1,24.9
T 5,B 1,Exp 1,21.5
T 5,B 2,Exp 1,22.3
T 5,B 3,Exp 1,22.1
T 5,B 4,Exp 1,21.9
T 6,B 1,Exp 1,19.6
T 6,B 2,Exp 1,17.7
T 6,B 3,Exp 1,18.7
T 6,B 4,Exp 1,22
T 1,B 1,Exp 2,10.2
T 1,B 2,Exp 2,11.7
T 1,B 3,Exp 2,9.1
T 1,B 4,Exp 2,8.1
T 2,B 1,Exp 2,16.1
T 2,B 2,Exp 2,10.8
T 2,B 3,Exp 2,10.9
T 2,B 4,Exp 2,10.3
T 3,B 1,Exp 2,17.7
T 3,B 2,Exp 2,13.1
T 3,B 3,Exp 2,14.2
T 3,B 4,Exp 2,11
T 4,B 1,Exp 2,13.5
T 4,B 2,Exp 2,14.4
T 4,B 3,Exp 2,11.2
T 4,B 4,Exp 2,12.8
T 5,B 1,Exp 2,20.5
T 5,B 2,Exp 2,12.5
T 5,B 3,Exp 2,11.3
T 5,B 4,Exp 2,12.2
T 6,B 1,Exp 2,12
T 6,B 2,Exp 2,13
T 6,B 3,Exp 2,12.3
T 6,B 4,Exp 2,10.6
T 1,B 1,Exp 3,22.7
T 1,B 2,Exp 3,21.4
T 1,B 3,Exp 3,22.9
T 1,B 4,Exp 3,22
T 2,B 1,Exp 3,22.6
T 2,B 2,Exp 3,21.4
T 2,B 3,Exp 3,20.7
T 2,B 4,Exp 3,20.8
T 3,B 1,Exp 3,21.4
T 3,B 2,Exp 3,21.7
T 3,B 3,Exp 3,22.5
T 3,B 4,Exp 3,19.4
T 4,B 1,Exp 3,25
T 4,B 2,Exp 3,23.6
T 4,B 3,Exp 3,23.3
T 4,B 4,Exp 3,24.8
T 5,B 1,Exp 3,26.4
T 5,B 2,Exp 3,26.4
T 5,B 3,Exp 3,28
T 5,B 4,Exp 3,27.3
T 6,B 1,Exp 3,20.6
T 6,B 2,Exp 3,23.5
T 6,B 3,Exp 3,19.4
T 6,B 4,Exp 3,21.9
