species,family,native.status,n,d95,dmax3
Metrosideros polymorpha,17,native,12635,77.23,207.07
Cheirodendron trigynum,3,native,3031,31,75.1
Psydrax odorata,23,native,1862,35.68,81.34
Diospyros sandwicensis,7,native,1853,50.48,86.37
Psidium cattleianum,17,alien,1831,20.12,59.52
Acacia koa,12,native,774,86.4,162
Dodonaea viscosa,26,native,773,27.48,65.46
Melastoma malabathricum,14,alien,484,11.4,16.63
Ilex anomala,2,native,469,60.57,115.63
Coprosma rhynchocarpa,23,native,438,14.02,23.87
Schinus terebinthifolia,1,alien,336,34.48,54.7
Styphelia tameiameiae,8,native,310,15,27.43
Eucalyptus grandis,17,alien,276,40.2,68.5
Schefflera actinophylla,3,alien,261,31.91,55.37
Nestegis sandwicensis,18,native,229,129.15,177.7
Cecropia obtusifolia,29,alien,212,27.93,37.17
Myrsine lessertiana,20,native,183,21.47,32.7
Psychotria hawaiiensis,23,native,161,22.84,49.5
Santalum paniculatum,25,native,135,25.56,44.31
Myrica faya,16,alien,131,50,65.8
Psychotria spp.,23,native,130,14.64,32.25
Leucaena leucocephala,12,alien,124,15.89,20.16
Osteomeles anthyllidifolia,22,native,121,42.33,62.1
Psidium guajava,17,alien,116,23.46,51.47
Eucalyptus robusta,17,alien,98,88.04,128.27
Broussaisia arguta,10,native,97,15.75,23.46
Aleurites moluccanus,9,alien,92,37.23,42.47
Syzygium cumini,17,alien,88,47.85,52.66
Grevillea robusta,21,alien,77,53.6,58.93
Casuarina equisetifolia,4,alien,75,37.68,46.4
Acacia confusa,12,alien,66,21.27,27.06
Psychotria mariniana,23,native,61,34.99,52.2
Vaccinium calycinum,8,native,61,21.83,25.67
Hibiscus tilliaceus,13,native,59,38.94,53.85
Erythrina sandwicensis,12,native,58,66.76,70.77
Falcataria moluccana,12,alien,58,89.55,105.07
Sophora chrysophylla,12,native,54,50.68,79.47
Wikstroemia sandwicensis,28,native,54,22.44,25.56
Sapindus oahuensis,26,native,53,36.09,46.07
Macaranga mappa,9,alien,52,18.36,20.03
Coprosma spp.,23,native,49,40.81,48.6
Syzygium jambos,17,alien,48,28.28,35.9
Melicope clusiifolia,24,native,41,16.8,17.27
Clusia rosea,5,alien,40,18.88,25.47
Myrsine spp.,20,native,40,13.52,16.47
Perrottetia sandwicensis,6,native,35,77.93,91.73
Melia azedarach,15,alien,34,34.72,38.93
Coprosma foliosa,23,native,33,14.76,16.2
Myoporum sandwicense,27,native,32,35.56,44.27
Antidesma platyphyllum,19,native,30,21.67,22.94
Diospyros hillebrandii,7,native,30,16.95,19.27
Wikstroemia oahuensis,28,native,30,12.11,15.13
Coprosma ochracea,23,native,29,17,17.33
Vaccinium dentatum,8,native,28,17.34,19.03
Ardisia elliptica,20,alien,27,16.97,25.65
Acacia koaia,12,native,26,48.44,62.43
Cinnamomum burmanni,11,alien,26,27.81,31.16
Kadua axillaris,23,native,24,20.6,20.83
