tree.code,dbh,toth,crown.area,comp.ind,cai.1986,cai.1987,cai.1988
Z1,2.9,2.9,0.16,94,0.9,1,1.6
Z2,1.6,1.7,0.11,8.8,2.1,1,1.9
Z3,2.3,1.9,0.24,8.7,4.8,2.3,NA
Z4,1.8,2.2,0.13,31.2,1.7,1.6,1.7
Z5,2.8,3.2,0.33,17.5,3.4,3,1.4
Z6,3,2.6,0.38,37,3.2,NA,2.8
Z7,2.2,2.7,0.2,30.7,3,2,NA
Z8,1.7,2.3,0.1,14.3,1,1.1,1
Z9,2.8,3.1,0.49,28.1,0.8,2,NA
Z10,3.4,3.6,0.71,21.3,2.9,3,2.6
A1,6.6,5.7,1.23,40.7,4.9,3.5,4.4
A2,5.2,5.5,1.13,35.7,2,2.1,1.6
A3,6.1,5.3,0.71,18.4,2.4,1.3,2.3
A4,6.9,6.4,0.75,97.3,1.6,0.5,2.3
A5,6.2,6.3,1.13,8,4.4,3.6,4.6
A6,6.3,5.2,1.12,13.2,2.1,2.3,1.7
A7,6.4,5.7,0.94,60.4,0.6,1,0.7
A8,6.6,5.7,0.78,7.5,2.5,1.6,1.1
A9,6.3,6.2,1.32,18.3,1.4,2.7,3.5
A10,6.9,6.3,1.21,13.7,0.5,1.7,1.7
B1,13.4,8.8,11,156.2,1.7,1.6,NA
B2,14.6,10,13.37,22.9,1.9,1.4,2.1
B3,14.9,8.4,13.19,20.9,1.5,2.3,2
B4,12.4,9.2,6.57,814.4,3.9,3.1,4.1
B5,12.3,8.5,4.29,10.9,4.1,2.6,1.3
B6,14.4,7.8,10.8,27.2,2.6,2.7,0.8
B7,14.2,12,4.52,47.2,1.6,2.6,2.5
B8,14.9,8.5,4.92,155.1,1.1,1,0.9
B9,12.1,8.1,6.6,139.4,1.4,1.6,2
B10,15,11.3,5.65,1482.9,1.9,2,0.4
B11,13.2,11.3,5.5,3438.3,2.5,0.9,1.2
C1,19,11,9.11,18.6,2.6,1.9,2.7
C2,22.4,12.5,14.4,20.5,2.1,2,1.2
C3,23,12.3,16.1,31.5,2,2.1,1.6
C4,19.4,11.6,21.99,157.6,0.5,0.1,0.5
C5,22.8,12.7,26.01,35.9,2.1,1.1,0.9
C6,21.3,15.5,11.55,43.5,1,1.1,1.9
C7,21.4,14.2,27.89,1090.8,1.8,2.4,3.1
C8,19,14.3,1.37,72,2.3,2.3,2.5
C9,21.1,14.6,12.64,88.6,4.5,3.8,5.9
C10,21.9,9.5,11.62,23.3,1.6,2.5,3.7
D1,27.7,17.3,20.4,58.5,1.5,1.5,2.1
D2,24.7,16.2,12.21,46.6,2.3,3,3.4
D3,29.2,17.7,29.25,133.1,1.6,1,1.2
D4,25.1,17,20.23,155.9,0.2,0.8,1.9
D5,25.5,15.6,17.01,157.6,1.3,2.8,3.6
D6,24.2,15.6,11.91,177.4,1,2.5,2.4
D7,28.2,16,20.45,1979.2,2.2,3,4.4
D8,27.3,19.8,9.34,162.7,1.4,2.6,4.7
D9,35.1,18.4,16.56,50.2,0.7,1.1,1.4
D10,30.1,16.5,23.37,157.6,1.7,1.3,2.5
E1,38.5,16.5,42.98,95.5,0.9,1.2,2
E2,33.9,17,29.22,59,0.9,1.7,2.5
E3,33.4,20.5,9.74,976,2.4,2.3,2.7
E4,33.8,17.3,13.15,119,0.5,2,2.7
E5,33.7,16.5,38.48,366.2,0.3,0.7,1
E6,36.8,21.3,35.22,123.9,0.1,0.2,1.1
E7,37.4,17,18.86,40.4,0.2,0.2,0.6
E8,35.5,18.2,18.66,71.8,0.2,0.3,1.3
E9,32.5,20.3,12.88,110.3,0.7,0.9,1.1
E10,38.2,18.4,41.94,70.8,0.7,0.1,1.1
E11,46,23.5,38.99,209.3,1.4,2.4,2.3
E12,42.4,19.5,21.1,337,0.4,0.2,0.6
