ID,Run,DPlant,Host,Ladybird,Cadaver,Live,Infected
1,1,1,trefoil,+,5,15,1
2,1,2,trefoil,+,5,13,1
3,1,3,trefoil,+,5,16,2
4,1,4,trefoil,+,10,12,2
5,1,5,trefoil,+,10,16,2
6,1,6,trefoil,+,10,15,3
7,1,7,trefoil,+,20,14,7
8,1,8,trefoil,+,20,17,8
9,1,9,trefoil,+,20,16,7
10,1,10,trefoil,-,5,20,1
11,1,11,trefoil,-,5,20,1
12,1,12,trefoil,-,5,20,2
13,1,13,trefoil,-,10,20,2
14,1,14,trefoil,-,10,20,1
15,1,15,trefoil,-,10,20,2
16,1,16,trefoil,-,20,20,2
17,1,17,trefoil,-,20,20,3
18,1,18,trefoil,-,20,20,3
19,1,19,bean,+,5,18,5
20,1,20,bean,+,5,20,3
21,1,21,bean,+,5,17,7
22,1,22,bean,+,10,17,10
23,1,23,bean,+,10,15,3
24,1,24,bean,+,10,14,2
25,1,25,bean,+,20,19,9
26,1,26,bean,+,20,18,6
27,1,27,bean,+,20,19,12
28,1,28,bean,-,5,20,1
29,1,29,bean,-,5,20,6
30,1,30,bean,-,5,20,7
31,1,31,bean,-,10,20,3
32,1,32,bean,-,10,20,4
33,1,33,bean,-,10,20,5
34,1,34,bean,-,20,20,4
35,1,35,bean,-,20,20,8
36,1,36,bean,-,20,20,5
37,2,1,trefoil,+,5,18,2
38,2,2,trefoil,+,5,13,1
39,2,3,trefoil,+,5,15,1
40,2,4,trefoil,+,10,17,2
41,2,5,trefoil,+,10,18,1
42,2,6,trefoil,+,10,16,3
43,2,7,trefoil,+,20,18,9
44,2,8,trefoil,+,20,19,6
45,2,9,trefoil,+,20,15,7
46,2,10,trefoil,-,5,20,0
47,2,11,trefoil,-,5,20,0
48,2,12,trefoil,-,5,20,1
49,2,13,trefoil,-,10,20,0
50,2,14,trefoil,-,10,20,2
51,2,15,trefoil,-,10,20,2
52,2,16,trefoil,-,20,20,3
53,2,17,trefoil,-,20,20,2
54,2,18,trefoil,-,20,20,2
55,2,19,bean,+,5,15,5
56,2,20,bean,+,5,17,3
57,2,21,bean,+,5,18,2
58,2,22,bean,+,10,19,8
59,2,23,bean,+,10,15,7
60,2,24,bean,+,10,16,6
61,2,25,bean,+,20,16,11
62,2,26,bean,+,20,17,9
63,2,27,bean,+,20,14,11
64,2,28,bean,-,5,20,1
65,2,29,bean,-,5,20,2
66,2,30,bean,-,5,20,2
67,2,31,bean,-,10,20,7
68,2,32,bean,-,10,20,5
69,2,33,bean,-,10,20,5
70,2,34,bean,-,20,20,9
71,2,35,bean,-,20,20,8
72,2,36,bean,-,20,20,5
