Hind_Foot_Length,Body_Weight
2.00432,2.77462
1.96614,2.76951
1.98453,2.8075
2.00217,2.83082
2,2.76055
1.99344,2.78825
2.00217,2.79929
1.97543,2.71801
1.99123,2.73654
1.98,2.74155
2.01912,2.82056
1.98227,2.74155
2.00217,2.77875
1.99123,2.776
1.99344,2.76623
2.00432,2.75624
2.00217,2.7634
2.00432,2.7222
2.00217,2.7971
1.99344,2.75091
2,2.72427
1.99564,2.78735
1.99564,2.79447
1.98453,2.76858
1.99564,2.77875
2.02119,2.89375
2.00647,2.86884
2.00647,2.85102
2.02119,2.88346
2.02325,2.87328
2.00647,2.81048
2.00647,2.8518
1.99344,2.81513
2.01494,2.87291
2,2.72943
2.0086,2.84084
1.99123,2.80233
1.98677,2.80016
2,2.77784
2.00647,2.81806
1.99123,2.78103
2.01494,2.86922
2,2.7887
1.99564,2.81597
2.00217,2.7927
1.99564,2.79623
1.91381,2.41169
2.01072,2.82015
1.98227,2.79137
1.99344,2.64551
1.99123,2.81765
2.0086,2.83325
2.00217,2.79137
2,2.81006
1.99564,2.58422
1.98227,2.80535
2,2.82263
1.99782,2.85025
1.95424,2.47405
1.98453,2.59899
2.0086,2.8092
1.989,2.80449
1.99564,2.80621
2,2.83001
1.98227,2.76576
2.00432,2.84301
1.99564,2.77875
2,2.84439
2.01072,2.83405
2.00647,2.81931
1.99344,2.68696
2.00217,2.69535
1.97543,2.55767
2,2.74155
2.00432,2.68752
2.01072,2.84714
1.97313,2.5406
1.9058,2.38762
2,2.60106
2.00217,2.61327
1.99564,2.64302
1.91116,2.35733
1.92686,2.37622
1.99344,2.62189
1.97543,2.52284
2.00647,2.6685
1.98,2.65594
1.99123,2.7514
1.989,2.72479
1.99123,2.70952
2.00217,2.76717
1.97772,2.70412
1.97772,2.697
1.98,2.74993
1.98227,2.7003
1.98,2.67435
1.98227,2.66909
1.99123,2.74204
1.98227,2.67609
1.98,2.68127
2.00647,2.77692
2.00647,2.77184
2,2.72737
1.98227,2.74944
1.98453,2.70194
1.99123,2.7079
1.99344,2.7284
1.88649,2.20757
1.98677,2.72376
1.99344,2.72427
2.00647,2.77231
1.99782,2.75334
1.989,2.73855
1.98677,2.76623
2.00217,2.8019
2.01072,2.83122
1.85126,2.22917
1.99123,2.54999
1.99123,2.60449
1.99782,2.7833
2.00217,2.78825
1.99564,2.60992
1.99344,2.60857
1.95665,2.60175
1.95665,2.50346
2.00217,2.61661
2.01494,2.84163
1.99782,2.73198
2.00217,2.66967
1.99782,2.78375
2,2.6271
1.99344,2.72891
2.01494,2.80449
2.01072,2.81848
2.00647,2.7833
2.00647,2.67493
1.98453,2.62775
1.99564,2.73805
1.89763,2.35612
1.95424,2.55231
1.95665,2.5026
