Food,Year,Area,Production,Yield,Irrigated
Wheat,1950-51,9.8,6.5,663,34
Wheat,1951-52,9.5,6.2,653,35.8
Wheat,1952-53,9.8,7.5,763,37.2
Wheat,1953-54,10.7,8,750,36.2
Wheat,1954-55,11.3,9,803,35
Wheat,1955-56,12.4,8.8,708,32.7
Wheat,1956-57,13.5,9.4,695,29.4
Wheat,1957-58,11.7,8,682,33.3
Wheat,1958-59,12.6,10,789,31.8
Wheat,1959-60,13.4,10.3,772,31.8
Wheat,1960-61,12.9,11,851,32.7
Wheat,1961-62,13.6,12.1,890,31.9
Wheat,1962-63,13.6,10.8,793,33.8
Wheat,1963-64,13.5,9.9,730,34.9
Wheat,1964-65,13.4,12.3,913,36.8
Wheat,1965-66,12.6,10.4,827,43.1
Wheat,1966-67,12.8,11.4,887,48
Wheat,1967-68,15,16.5,1103,43.4
Wheat,1968-69,16,18.7,1169,49.8
Wheat,1969-70,16.6,20.1,1209,51.1
Wheat,1970-71,18.2,23.8,1307,54.3
Wheat,1971-72,19.1,26.4,1380,54.5
Wheat,1972-73,19.5,24.7,1271,57.6
Wheat,1973-74,18.6,21.8,1172,57.7
Wheat,1974-75,18,24.1,1338,61.8
Wheat,1975-76,20.5,28.8,1410,61.8
Wheat,1976-77,20.9,29,1387,65.1
Wheat,1977-78,21.5,31.8,1480,64.6
Wheat,1978-79,22.6,35.5,1568,66
Wheat,1979-80,22.2,31.8,1436,68.3
Wheat,1980-81,22.3,36.3,1630,70
Wheat,1981-82,22.1,37.5,1691,70.7
Wheat,1982-83,23.6,42.8,1816,72.5
Wheat,1983-84,24.7,45.5,1843,73
Wheat,1984-85,23.6,44.1,1870,74.5
Wheat,1985-86,23,47.1,2046,74.6
Wheat,1986-87,23.1,44.3,1916,76.3
Wheat,1987-88,23.1,46.2,2002,76.8
Wheat,1988-89,24.1,54.1,2244,79.2
Wheat,1989-90,23.5,49.9,2121,80.3
Wheat,1990-91,24.2,55.1,2281,81.1
Wheat,1991-92,23.3,55.7,2394,83.7
Wheat,1992-93,24.6,57.2,2327,84.2
Wheat,1993-94,25.2,59.8,2380,85
Wheat,1994-95,25.7,65.8,2559,84.9
Wheat,1995-96,25,62.1,2483,85.8
Wheat,1996-97,25.9,69.4,2679,86.2
Wheat,1997-98,26.7,66.3,2485,85
Wheat,1998-99,27.5,71.3,2590,-
Wheat,1999-00,27.5,76.4,2778,-
Wheat,2000-01,25.7,69.7,2708,-
Wheat,2001-02,25.9,71.8,2770,-
Wheat,2002-03*,26.9,72.8,2771,
Rice,1950-51,30.8,20.6,668,31.7
Rice,1951-52,29.8,21.3,714,31.7
Rice,1952-53,30,22.9,764,32.3
Rice,1953-54,31.3,28.2,902,33.6
Rice,1954-55,30.8,25.2,820,34.4
Rice,1955-56,31.5,27.6,874,34.9
Rice,1956-57,32.3,29,900,35.4
Rice,1957-58,32.3,25.5,790,36.4
Rice,1958-59,33.2,30.9,930,36.3
Rice,1959-60,33.8,31.7,937,35.8
Rice,1960-61,34.1,34.6,1013,36.8
Rice,1961-62,34.7,35.7,1028,37.5
Rice,1962-63,35.7,33.2,931,37.4
Rice,1963-64,35.8,37,1033,37.1
Rice,1964-65,36.5,39.3,1078,37.3
Rice,1965-66,35.5,30.6,862,36.5
Rice,1966-67,35.3,30.4,863,37.9
Rice,1967-68,36.4,37.6,1032,38.6
Rice,1968-69,37,39.8,1076,38.4
Rice,1969-70,37.7,40.4,1073,38.2
Rice,1970-71,37.6,42.2,1123,38.4
Rice,1971-72,37.8,43.1,1141,37.2
Rice,1972-73,36.7,39.2,1070,39.1
Rice,1973-74,38.3,44.1,1151,38.4
Rice,1974-75,37.9,39.6,1045,38.8
Rice,1975-76,39.5,48.7,1235,38.7
Rice,1976-77,38.5,41.9,1088,38.4
Rice,1977-78,40.3,52.7,1308,40.2
Rice,1978-79,40.5,53.8,1328,41.6
Rice,1979-80,39.4,42.3,1074,42.8
Rice,1980-81,40.1,53.6,1336,40.7
Rice,1981-82,40.7,53.3,1308,41.5
Rice,1982-83,38.3,47.1,1231,42
Rice,1983-84,41.2,60.1,1457,42.7
Rice,1984-85,41.2,58.3,1417,43.7
Rice,1985-86,41.1,63.8,1552,42.9
Rice,1986-87,41.2,60.6,1471,44.1
Rice,1987-88,38.8,56.9,1465,43.6
Rice,1988-89,41.7,70.5,1689,45.8
Rice,1989-90,42.2,73.6,1745,46.1
Rice,1990-91,42.7,74.3,1740,45.5
Rice,1991-92,42.7,74.7,1751,47.3
Rice,1992-93,41.8,72.9,1744,48
Rice,1993-94,42.5,80.3,1888,48.6
Rice,1994-95,42.8,81.8,1911,49.8
Rice,1995-96,42.8,77,1797,49.9
Rice,1996-97,43.4,81.7,1882,51
Rice,1997-98,43.4,82.5,1900,50.8
Rice,1998-99,44.8,86.1,1921,52.3
Rice,1999-00,45.2,89.7,1986,53.9
Rice,1999-01,44.7,85,1901,-
Rice,2001-02,44.6,93.1,2086,-
Rice,2002-03,40.4,75.7,1874,
