Temp_water,Temp_air,Deforestation
4.9111111,2.111111,BEFORE
2.9,-2.66,BEFORE
4.0363636,1.318182,BEFORE
7.82,6.42,BEFORE
6.75,3.46,BEFORE
5.8333333,2.966667,BEFORE
5.24,1.94,BEFORE
5.75,3,BEFORE
7.0454545,4.309091,BEFORE
7.73,3.04,BEFORE
10.33,6.63,BEFORE
9.15,4.53,BEFORE
13.8,11.84,BEFORE
12.6875,9.525,BEFORE
13.85,11.41,BEFORE
13.6555556,11.333333,BEFORE
15.8181818,13.445455,BEFORE
16.85,14.53,BEFORE
16.5,13.9,BEFORE
13.625,8.975,BEFORE
13.875,10.75,BEFORE
13.65,11.88,BEFORE
14.2,12.57,BEFORE
11.5875,7.85,BEFORE
8.42,6.08,BEFORE
9.5,8.109091,BEFORE
2.45,-0.62,BEFORE
4.625,4.5625,BEFORE
5.5,5.01,AFTER
4.8333333,5.33,AFTER
0.5909091,-3.036364,AFTER
0.55,-2.16,AFTER
4.4,2.57,AFTER
5.9166667,5.3875,AFTER
7.125,5.68,AFTER
5.9,4.11,AFTER
7.4545455,5.509091,AFTER
8.85,6.02,AFTER
6.3,2.92,AFTER
9.4,7.03,AFTER
14.4375,11.91,AFTER
12.4,11.02,AFTER
14.68,10.53,AFTER
16.2625,12.04,AFTER
16.4363636,11.872727,AFTER
18.31,15.34,AFTER
18.8875,15.75,AFTER
17.55,14.9,AFTER
13.85,8.61,AFTER
13,7.76,AFTER
12.86,8.72,AFTER
13.55,11.12,AFTER
11.35,9.55,AFTER
6.2272727,3.527273,AFTER
3.15,1.67,AFTER
3.8,3.46,AFTER
