mineral,color,hue,value,chroma
goethite-coarse,10YR 8/6,10YR,8,6
goethite-fine,7.5YR 5/6,7.5YR,5,6
hematite-coarse,5R 3/6,5R,3,6
hematite-fine,10R 4/8,10R,4,8
lepidocrocite-coarse,5YR 6/8,5YR,6,8
lepidocrocite-fine,2.5YR 4/6,2.5YR,4,6
ferrihydrite,2.5YR 3/6,2.5YR,3,6
glauconite,5Y 5/1,5Y,5,1
iron sulfide,10YR 2/1,10YR,2,1
pyrite,10YR 2/1,10YR,2,1
jarosite,5Y 6/4,5Y,6,4
todorokite,10YR 2/1,10YR,2,1
humus,10YR 2/1,10YR,2,1
calcite,10YR 8/2,10YR,8,2
dolomite,10YR 8/2,10YR,8,2
gypsum,10YR 8/3,10YR,8,3
quartz,10YR 6/1,10YR,6,1
maghemite,2.5YR 3/4,2.5YR,3,4
schwertmannite,10YR 7/8,10YR,7,8
akaganeite,7.5YR 6/6,7.5YR,6,6
