Locality,Year,Replicate,Subculture,Elongation,Multiples,Rooting,Germination,Seed_Length,Seed_Width
1,2002,1,0,32.8,13.8,90,19,1.74167,1.05
1,2002,2,0,41.9,9.7,100,19,1.74167,1.05
1,2000,1,0,23.9,73.9,90,19,1.74167,1.05
1,2000,2,0,45.2,83.9,91.7,19,1.74167,1.05
2,2002,1,0,62.3,9.8,93.3,48,1.33333,0.84167
2,2002,2,0,76.5,11.8,93.3,48,1.33333,0.84167
2,2000,1,0,59.1,50,100,48,1.33333,0.84167
2,2000,2,0,48.4,25.8,100,48,1.33333,0.84167
3,2002,1,0,64.7,47.1,100,98,1.875,1.325
3,2002,2,0,58.3,41.7,100,98,1.875,1.325
3,2000,1,0,60,86.7,100,98,1.875,1.325
3,2000,2,0,56.5,89.1,95,98,1.875,1.325
4,2002,1,0,37.5,18.8,100,8,1.725,1.1
4,2002,2,0,50,27.8,88.9,8,1.725,1.1
4,2000,1,0,60,40,70,8,1.725,1.1
4,2000,2,0,53.3,73.3,90,8,1.725,1.1
5,2002,1,0,56,16,100,42,1.91667,1.33333
5,2002,2,0,62.5,12.5,90.9,42,1.91667,1.33333
5,2000,1,0,88.6,4.3,94,42,1.91667,1.33333
5,2000,2,0,86.8,19.1,85,42,1.91667,1.33333
6,2002,1,0,58.3,37.5,87.5,34,1.61667,0.99167
6,2002,2,0,37.5,21.9,88.9,34,1.61667,0.99167
6,2000,1,0,36,12,88.9,34,1.61667,0.99167
6,2000,2,0,34.8,26.1,87.5,34,1.61667,0.99167
7,2002,1,0,58.3,25,100,46,1.76667,1.075
7,2002,2,0,42.9,21.4,83.3,46,1.76667,1.075
7,2000,1,0,22.5,57.5,80,46,1.76667,1.075
7,2000,2,0,41.2,88.2,60,46,1.76667,1.075
8,2002,1,0,76.9,30.8,100,19,1.64167,0.93333
8,2002,2,0,88.5,23.1,100,19,1.64167,0.93333
8,2000,1,0,86.9,81.1,100,19,1.64167,0.93333
8,2000,2,0,90.9,84.8,100,19,1.64167,0.93333
1,2002,1,1,35.3,58.8,90,19,1.74167,1.05
1,2002,2,1,25.8,22.6,85.7,19,1.74167,1.05
1,2000,1,1,67.9,60.7,71.4,19,1.74167,1.05
1,2000,2,1,41.7,58.3,85.7,19,1.74167,1.05
2,2002,1,1,49.2,9.8,86.7,48,1.33333,0.84167
2,2002,2,1,37.5,20.8,75,48,1.33333,0.84167
2,2000,1,1,60,50,58.3,48,1.33333,0.84167
2,2000,2,1,71.4,34.3,62.5,48,1.33333,0.84167
3,2002,1,1,64.7,47.1,100,98,1.875,1.325
3,2002,2,1,50,35,100,98,1.875,1.325
3,2000,1,1,66.7,66.7,93.3,98,1.875,1.325
3,2000,2,1,80,75,93.3,98,1.875,1.325
4,2002,1,1,37.5,25,100,8,1.725,1.1
4,2002,2,1,50,40,87.5,8,1.725,1.1
4,2000,1,1,34.8,30.4,75,8,1.725,1.1
4,2000,2,1,34.8,17.4,50,8,1.725,1.1
5,2002,1,1,56,16,87.5,42,1.91667,1.33333
5,2002,2,1,60,26.7,80,42,1.91667,1.33333
5,2000,1,1,92,24,87,42,1.91667,1.33333
5,2000,2,1,78.9,29.8,90.9,42,1.91667,1.33333
6,2002,1,1,56,36,77.8,34,1.61667,0.99167
6,2002,2,1,51.6,41.9,87.5,34,1.61667,0.99167
6,2000,1,1,66.7,20.8,60,34,1.61667,0.99167
6,2000,2,1,72,24,63.6,34,1.61667,0.99167
7,2002,1,1,58.3,45.8,77.8,46,1.76667,1.075
7,2002,2,1,46.2,61.5,100,46,1.76667,1.075
7,2000,1,1,36.8,63.2,71.4,46,1.76667,1.075
7,2000,2,1,15,57.5,60,46,1.76667,1.075
8,2002,1,1,76.9,30.8,90,19,1.64167,0.93333
8,2002,2,1,59.6,9.6,100,19,1.64167,0.93333
8,2000,1,1,53.8,69.9,100,19,1.64167,0.93333
8,2000,2,1,81.3,66.3,100,19,1.64167,0.93333
1,2002,1,2,23.9,39.1,77.8,19,1.74167,1.05
1,2002,2,2,25.6,33.3,85.7,19,1.74167,1.05
1,2000,1,2,71.4,57.1,60,19,1.74167,1.05
1,2000,2,2,33.3,55.6,60,19,1.74167,1.05
2,2002,1,2,32,26,75,48,1.33333,0.84167
2,2002,2,2,24.4,24.4,80,48,1.33333,0.84167
2,2000,1,2,63.2,84.2,50,48,1.33333,0.84167
2,2000,2,2,45,15,55,48,1.33333,0.84167
3,2002,1,2,37.5,58.3,83.3,98,1.875,1.325
3,2002,2,2,42.4,33.3,80,98,1.875,1.325
3,2000,1,2,75,75,100,98,1.875,1.325
3,2000,2,2,75,50,92,98,1.875,1.325
4,2002,1,2,40,28,87.5,8,1.725,1.1
