state,abbreviated,series
Alabama,AL,Bama
Alaska,AK,Tanana
Arizona,AZ,Casa Grande
Arkansas,AR,Stuttgart
California,CA,San Joaquin
Colorado,CO,Seitz
Connecticut,CT,Windsor
Delaware,DE,Greenwich
Florida,FL,Myakka
Georgia,GA,Tifton
Hawaii,HI,Hilo
Idaho,ID,Threebear
Illinois,IL,Drummer
Indiana,IN,Miami
Iowa,IA,Tama
Kansas,KS,Harney
Kentucky,KY,Crider
Louisiana,LA,Ruston
Maine,ME,Chesuncook
Maryland,MD,Sassafras
Massachusetts,MA,Paxton
Michigan,MI,Kalkaska
Minnesota,MN,Lester
Mississippi,MS,Natchez
Missouri,MO,Menfro
Montana,MT,Scobey
Nebraska,NE,Holdrege
Nevada,NV,Orovada
New Hampshire,NH,Marlow
New Jersey,NJ,Downer
New Mexico,NM,Penistaja
New York,NY,Honeoye
North Carolina,NC,Cecil
North Dakota,ND,Williams
Ohio,OH,Miamian
Oklahoma,OK,Port
Oregon,OR,Jory
Pennsylvania,PA,Hazleton
Puerto Rico,PR,Bayamon
Rhode Island,RI,Narragansett
South Carolina,SC,Bohicket
South Dakota,SD,Houdek
Tennessee,TN,Dickson
Texas,TX,Houston Black
Utah,UT,Mivida
Vermont,VT,Tunbridge
Virgin Islands,VI,Victory
Virginia,VA,Pamunkey
Washington,WA,Tokul
West Virginia,WV,Monongahela
Wisconsin,WI,Antigo
Wyoming,WY,Forkwood
